tid,PERSON,NORP,ORG,FAC,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORDINAL,CARDINAL
625240,Plaintiff,Indian,Plaintiff,the Phone Booth,Hollywood,,,,Knock Out,Section 2 m ii of the Act,English,2009,16 32 19,,,,first,two
871220,Denning,Indo,Government,Mill Park Road,the United States,,Vanaspati,U P Sales Tax,Estoppel by Representation 1966,the U P Sales Tax Act,English,three years,,7 ,19 36 597 23,460 acres,4th,1
866760,Churi,Kachha,Court,Khokliri P 1,Kotkhai,the Naib Tehsildar,Khokhri,,The State of Madhya Pradesh v Mubarak Ali,the Code of Criminal Procedure,,1972,10 50 p m,,,1 1 2 mile,second,1
1240131,H L Dattu,,Tribunal,,India,,Heading No 49 06,H L DATTU ,Appeal No C 138 03 Mum,Act,,1962,,, 60 00 000 Rupees Sixty Lakhs,,,two
162432291,Charanjeet,Indian,Court,Rajouri Garden,India,,,,,U s 420 IPC,,6 months,05 03 2015,,90 000 Yen,,second,9
1131957,S Mahajan,Belgian,Court,the Indian Market,India,The S shaped region,AQUAFRESH FLEX,,the Schedule Parts I and II,the Designs Act,,1957,,,more than Rs 4 63 crores,,third,1
946842,S B Sinha,,SC,,India,East Coast Railways,,,SCALE 470,Article 14 of the Constitution of India,,2003,,50 ,56 marks,,240th,480
1163546,Deepak C Shriram,,ITO,Taxman 475,Delhi,,,,,Section 192,,earlier months,1000 p m ,6 25 ,Rs 36 139,,second,3
864375,Tek Chand Bhatia,Indian,Commission,,India,,,New Delhi September 9 2010,Gurdial Singh Fijji v State of Punjab,Act,,8th December 2009,,less than 49 25 ,25 000,,first,4
1299452,Muktajivan,,the High Court,H J House Maninagar,Ahmedabad,,,,Twentieth Edition,Antox India P Ltd,,1995,,,,a few kilometers,Secondly,two
306336,Y Prabhakar Reddy,,the High Court,A12,Andhra Pradesh,,B 619,,C M P No 7284,Order 41,,April 3 1964,,4 per cent,20 000,2 per square yard,first,one
1732220,Har Shankar,Indian,State,,States,,Entry 8,List II,Para 60,Act,,1995,,,,,First,8
5114588,Dhruv Mehta,,Court,Plot No 21 Sector 5,India,,,,Award,Section 69,,1940,,50 ,Rs 9 80 crores,,first,3
26718353,Shri Vikas Ladhe,Italian,Opposite Party,Old Natraj Cinema Building,Delhi, NCR region,Reliance Company s 4G,, Demand and Supply of Mall Space,Section 4 of the Act,,2014,8 p m to 2 a m,12 36 ,about Rs 30 35 lakhs,one km,second,4
1742704,R C Lahoti,,the Municipal Corporation,,Ludhiana,,,,Sixth Edition,Section 342 of the Punjab Municipal Corporation Act,,3 3 1981,,,,about 12 feet,second,1
169522737,S S Ahmad,Brahminee,the High Court,,Hyderabad,,,,,Section 415,,1954 Cr L J 1806,,,,,second,two
735457,Sainthia Rice,German,Court,,Bombay,,Rs 3500,,Civil Appeal No 1257,Section 15C,,1922,,six percent,Rs 3 500,,first,1
138217214,O P KANT,Indian,Tribunal,33 ITA No 380 Del 2015,New Delhi,,Del 2015,26 ITA No 380 Del 2015,the Annual Report,section 144C of the Act,,the financial year,,0 43 ,less than Rs 1 crore,,second,380
1462242,Saibanna,,the High Court,,Yadgir District Gulbarga,,,,,Section 32 1 of the said Act,,the period 1951 to 1954,,,,23 gunthas,first,2
1599972,Bench,Bengali,Court,,The State of Maharashtra,,PW 3,,The State of Ajmer,Act,English,December 6 1980,1 00 p m ,,10 000,,first,two
391843,Raman Nair,Hindu,Court,Madras 321,Kerala,the Malabar area,O S No 39,,Hindu Law of Marriage and Stridhana 4th Edition re Printed in India,Act,English,1976,,,one thousand rupees,,second,two
1672214,Ratanlal,,the District Court,Bombay 40,KHALID V ,,,Bombay 40,13 G L R 181,Section 72,,1950,,,,,first,72
137734242,Shri Altaf Ahmed,,D P C ,the Efficiency Bar,Nagar Mahapalika,,,,D P C ,Chapter IV,,the year,,,,,Secondly,3
1882267,Rowlatt,Indian,Government,A C 176,India,,Sutlej,Civil Writs Nos 1947,C As Nos 973,Act,,1967,,100 ,Rs 9 44 lakhs,,first,1
290962,Brijmohan Lall,K ,Committee,,K N ,,SCR Supl,,Bombay v Kusaldas S Advani,r 1 1 ,,1959,,,,,third,1
1920837,M PADMANABHAN,TULZAPURKAR,Government,,Tulzapurkar,,,,A S No 10,Rule 186 of the Treasury Code,,1985,,12 ,,,,19 5 1973
292146,S N Variava,Indian,Appellants,,India,Europe,Suit,,Judgment,,,all these years,,,,,first,583
176122260,Shri Chhangani,,Board,SC 425,Uttarakhand,,,Combined Recruitment Examination 2011,Uttaranchal ,the Special Rules,Hindi,1998,two hours,30 ,100 marks,,first,2
189337794,Dhond,Egyptian,Faber Castell,Kamala Executive Park,India,Whirlpool,,,Exhibits F,the Companies Act,English,today,23 55 53,75 ,nearly Rs 50 lakhs,,first,27
1147963,Shri Asha Ram,,Tribunal,,Ors ,,,,Award,Article 226 of the Constitution,,Ors 1990,,,,,first,1
565540,Plaintiffs,,Plaintiffs,L 69,India,,L 1,,Page 1699,Plaintiffs,English,1957,,,10 000,,Thirdly,two
275246,R P Dalal,J ,Parliament,S 297,SIKRI,Kashmir,,,Deductions and Assessment ,Act,,1922,11 a m ,,,,first,2
1695101,Hakam Singh,,Court,Bodinaya kanur,Bombay,,,,,Section 20 of the Code,,1991,,,,851 kilograms,second,two
893844,Shah,,Parliament,,Bombay,,,9 and 10 Geo VI 1939,,Act,,1950,,,about Rs 22 000,300 tons,first,two
386457,P Alagappa Chettiar,Japanese,the High Court,,Malaya,,,Occupation,C A No 722,Ordinance,,1963,,,9006,,second,6
1576587,Parameswara Menon,,Tribunal,SC 430,Mumbai,,I D,,Judgment,Act,,1947,,,,,firstly,1
1442144,H Sema,,Central Excise,,,,,,,Section 11A,,27th May 1994,,,,,,164
476474,J K Synthetics,,the State Government,,Rajasthan,,Srl No 3,,Serial No 4,Clause 4,,7th January 2000,,30 ,Rs 50 crore,,first,4
941137,A Gupta,,Court,,Calcutta,,,,,Section 406 of the Indian Penal Code,,January 16 1970,,,2 49 130 33P,,second,1
896874,Charas,,PW 1,Anjuna beach,Himachal Pradesh,,Charas,,Anti Narcotic Cell,Section 20,,2005,earlier in the day,,,100 gms,Firstly,two
39679,Alandur,,IOC,Coimbatore Airport,Chennai,,Aircraft,,I P C ,Section 405,,1999,,,Rs 18 crores,,first,two
1329151,B S CHAUHAN,,Court,AC 482,Besalay,,,,LGC No 76,Act,,1982,,,,,second,2
2044127,J R Kapoor,,the High Court, New Delhi 110020 ,S C ,,MICROTEL,, Best for Colour Black and White TVs FM Radio ,Suit No 494,,1991,,,,,first,two
524871,Shri A C C Unni,,SCN,156 AIR 323,India,,Carbondioxide,,,Section 11A,,five years,,,two thousand rupees,,first,23 10 1975
1960340,Shri Omprakash Rajput,Lordships,Court,Plot No A 1 177,India,Bombay,Form No 28,the Second World War,No 14 in the Factory,Act,,1948,hours,,,,second,one
1965204,Motilal,Muktiar,Motilal,the Indore Bench,Motilal,,Ext D 1,Civil Suit No 243 47,Ext ,53A,English,October 10 1950,,4 ,1 000,,first,1
168489488,Singh,German,Court,the Hollow Section Pipe,India,,Hollow Section Pipe,, Ceco Door ,Act,,1911,,,Rs 1 05 crores,90 degree,first,37
1738256,R V Raveendran,,Arbitrator,,New Delhi,,,,,sections 30 and 33 of the Act,,Rs 8 34 103 instead,,15 ,Rs 3 35,32 lacs,first,1 30 300
988645,Zaheer Khan,,Court,Bar,England,,Bottler,,Celebrity Endorsement ,Clause 31,,1st November 2000,,20 ,3 crores,,first,1
315836,Nataraj,British,Court,Page 310,America,Third World Countries,Nataraj,,Law of Trade Marks and Trade Names,the Trade Marks Act,,a number of years,,20 per cent,thousands of rupees,8 crores,first,2
1465670,R P Sethi,,Court,,India,,PW 1,,,Section 309 of the Code,,the following day,the end of the day,,,,second,one
1276331,J ,J L ,the Central Government,389,India,,,the Open General List,Gopalan S Case,Constitution,,1958,,3 1 2 ,,,first,3
183984262,Tolia,Egyptian,Modware,Swadeshi Market,India,,PURO,,the Affidavit in Reply,the Designs Act,,30th March 2017,,,Rs 7 crores,,first,two
435765,Ashok Kumar Yadav,,Court,,Ors ,,SC ST,,Ph D ,Civil Appeal No 812,,2002,between 10 to 30 minutes,22 2 ,100 marks,,first,2
166007515,Shri Viswanathan,Indian,Court,Fort William,India,Malabar,Mad 641,Civil Appeal No 201 of 2005,a Letters Patent,Section 98,English,1976,,,ten thousand rupees,,first,two
1514512,Shri Sudhir Chandra,,Skyline,,India,,Skyline,,Skyline,Civil Appeal Nos 1360 1361,,2005,,,more than Rs 20 crores,13 acres,first,1
96932,Amalendu Das,,the High Court,the Calcutta Port,India,,Tubes,FMAT No 2139,Lord Hailsham,Art 226 of the Constitution,,1985,,30 per cent,about Rs 2 crores,,second,2
112850760,S N Kumar,American,Court,A C 910,India,Kashmir,Thetis,the Round Table Conference,A C 624,Constitution,English,1981,minutes,70 per cent,4 000,almost 180 degrees,first,1
1300072,Deep Chand,,the High Court,Railway,Muzaffarnagar,North,,,,Section 4 of the Land Acquisition Act,,1980,,15 ,10 annas,6 annas,1st,6
1629830,J ,British,State,A C 376,States,the Central Provinces,S L 683A,Bihar Sales Tax,The State of Bombay,article 286,English,1935,,,over seven lakhs of rupees,12 miles,first,2
1907642,Krishnamurthy Iyer,British,Court,the Madras Village Panchayat,India,,,,AC 578,Act,,1964,,Five per cent,two rupees,Re O 38 per tonne,7th,1
685234,Kathi Raning Rawat,American,Government,,Bombay,,,List III,The State Of Bombay,Act,,1957,,,,,first,3
1194654,Maniram Vishwakarma,British,Court,J 658,India,Vidarbha,,, Saral Middle School Ank Ganeet ,the Indian Copyright Act,English,13th March 1952,,15 ,15 790 46,3 eq,9th,one
1475926,Kumari Madhuri Patil s,Vettuvan,Court,,Calicut,,Tahsildar,Social Welfare Tribal Welfare Backward Class Welfare,Scheduled Caste,Article 311 of the Constitution,,2004,Later on 19 2 2002,,,,6th,1
1668065,Jagan Nath,,Court,Calcutta 536,Calcutta,Greater Bombay,Sherry,SC 1481,Surya Dev Rai,Article 227,English,1861,1630 ,,,,First,4
70463837,Unninayar,,Court,Pushpa Market,Delhi,Central Zone,Bomb Blast,2014 SCC OnLine Del 4198,W P ,Act,,2009,hours,,30 12 2005,7 X5,first,50
1869992,Kania J ,British,the Bombay High Court,,India,,,,,Section 42,,1939,,9 per cent,4 500,,first,1
104377,Chaudhry,Republican,State,A C 379,States,,,,Rulers of all foreign States,International Law,English,1951,,,6 07 346,,first,86
70487596,Lakha Ram Sharma,,Court,Exhibition,Karnataka,Mount Mary,Bull Smart Backhoe Loader,,,The Geographical Indications of Goods Registration And Protection,,12th December 2011,,,Rupees ten lakhs,10 lakhs,,12
710165,Mohendra Chundra Nath Ghosh And ,Vaishnav,Imperial Tobacco Co ,,Calcutta,,,,, Act 3 of 1914 ,,7,,,100,,,1
317172,Umpire,,Board,the Kuttiyadi Dam,A N ,,,,O P 11,O P 11,,1972,10 4 1973,6 per cent,about Rs 5 lakhs,,second,2
1916388,Seth Chand Ratan,Indian,Court,AC 368,India,,Code,,,Statute,,2008,,60 ,Rs 2 crores,,third,2
1326499,Alamgir,Pakistani,Court,Caf Rahim Restaurant,Bombay,Bombay,Ex PW 27 37,,Room No 107,Section 161 Cr P C,Urdu,19th September 1991,the morning,,100 rupee,,first,two
769115,J ,Daltons,Plaintiff,,Delhi,,LOPRIN,,LOP,the Business Transfer Agreement,English,October 2005,hours,,about Rs 74 67 lacs,75mg,first,two
833158,V R Reddy,,MSO,,Calcutta,,Section 4A,,Intervenor,Act,,1982,,,,,Seventh,1
467194,S N Variava,Indian,Tribunal,Garuda Buildings,London,,Dextrose Injection,,no Affidavit in Reply,the Trade and Merchandise Marks Act,,a financial year,,12 1 2 ,350,ninety nine thousand tonnes,first,2
850428,Ruma Pal,,Court,,India,,,the Tariff Conference of Collector,Garden Silks,Section 37B of the Central Excise Act,,1988,,20 per cent,,,Fourth,1
963790,Ananda Behera s,Indian,State,277,The State of Madhya Pradesh,,,,Simonds Edition,Art 32 of the Constitution,English,1950,,,26 000,1 2 feet,first,1
80997184,Bench,Indian,Court,U S 607,India,,the Explanation 4,Ramlila Maidan Incident,W P ,Constitution,English,2015,11 54 08,,,,first,2
1097981,Sadruddin Hasan Daya,,Court,J P Road,Madh Island,,,Iimitation,Summary Suit No 4571,the Consent Terms,,1996,minutes,14 ,a single penny,,third,5
1856009,Davy Mckee,,Tribunal,,U K ,,,,,Rule 4 of the Customs Valuation Determination of Price of Imported goods Rules,,6 February 1997,,,Pounds 11 50 lakhs,,,three
40533940,Ibrahim Khan,,Court,Mira Road,Mumbai,,,RANJAN GOGOI ,Dorab Cawasji Warden,Section 6 of the SR Act,,11,the morning,,,,first,1
1247926,Tudor,Hindus,Registrar,,Calcutta,Deva Nagri,,,A B C,Act,English,1940,,,10 000,,first,1
281850,C K Thakker,,Government,,West Bengal,,,,,Rule 10 1 ,,1971,,,,,,1
762055,Sen,,IPRS,,India,,,,Cinematograph,Section 17,,1957,,,,,first,2
56087922,Appellant,,the Electricity Board,,Naptha,,Rs 64,the Cure Period,,PPA 1,,2009,30 05 1996,58 ,537 crores,300 MW,first,86
652828,Halsbury,Indian,Court,,India,,JAMES BOND ,,GEMS,Act,English,1999,,,Rs 22 8 millions,2716 tonnes,first,two
894494,Kandla,,CEGAT,the Gujarat High Court,Rajkot,,,New International Dictionary, Words and Phrases ,Section 112,English,2003,office hour,5 ,Rs 20 crores,10 lakhs,Third,1
1831078,S N Variava,,Commission,,MUMBAI,,,,,Act,,1987,,1 6 1999 per cent,234C,,first,234B
1487019,Yaddalam,,Legislature,,Yaddalam,,,,A Misrimal Jain and Co and Others v State of Mysore,Act,,1969,,,31 006 71 Rupees,,second,9
50089303,T S THAKUR,,Court,,Ors ,,,,W P ,Writ Appeal C No 79,,2012,,,Rs 4756,23 tonnes,,6
47391891,J ,,BCI,,India,,DC Case No 25 2010,,Poppatlal Shah v State of Madras,Act,,a period of one year,,,,,1st,1
681866,Alka Subhash Gadia s,British,Court,,Mumbai,Euclid,SC 946,SC 3 1705,,Constitution,,2008,,,,,first,one
1543503,S Bobde,,Parliament,P T C 449,India,,,,Fourth Edition,Act,German,1911,,,3500,,first,two
189907,Grover,Russian,Court,Farakka Barrage,Moscow,,P 32,the New York Convention,Russell on Arbitration,Act,English,1889,,75 ,25 lakhs,30 mas,first,1
1159790,Ramamurthi,,Court,the Nursing Home,SYED,Bazar,Nellore,,Paper Book,Ext P 2,,1971,night,,,about half a mile,first,1
1355660,Mehta,Indian,Customs,Santa Cruz Airport,India,,,,State of Bombay,Act,,1962,,,500 dollars,11 000 tolas,first,3
1586918,Ajit Kerkar,F S I ,NCPA,Ex 421,Bombay,the Konkan Region,Rs 1,Watergate,S C R 580,Section 165,English,16th April 1981,the minutes,50 ,Rs 8 lakhs,50 metric tonns,first,two
1330629,Debdas Kumar s,,Court,,Chandigarh,,,,C P W D ,Article 14,,daily,,,,,,4
1378876,Distt Jullundur,Indian,Court,,DESAI D A,,,,,section 419 IPC,,1977,,,,,first,2
1425094,Dean,Indian,MCI,,India,,,,MBBS,Act,,2002,,,,,Second,4A
487303,Patel,Rheuma,Defendant,,India,,Betaloc,,Accutron,Act,English,1956,24 hours,,,,1st,two
288525,Savant,,Court,,Nagpur,,Alpha 4,,Navinchandra N Majithia v State of Maharashtra,Rule 11,,2004,,20 ,Rs JPY 175 Million,MINIMUM 300 000,5th,4
248715,Ar Lakshmanan,,Central Excise,,Belgaum,,Bigen,,,section 35 L b of the Act,,the period 4 93 to 6 97,,,,,,6 1 2000
350628,Kuldip Singh,,the General Board,,Dattatraya,,Ex 38,,,Act,,1996,,, 85,,second,1
1334665,P A Mehta,American,State,,India,,,Civil Appeal No 25 of 1952,List I of the Seventh Schedule,Constitution,,1952,,,,,first,1
64231867,Dipak Misra,J ,the Selection Committee,,Uttar Pradesh,,,,Words and Phrases Permanent Edition,sub section 5 of Section 85 of the Act,,1999,minutes,,,,first,5
1550190,Parikh,MUKHERJEA,Company,Sec 18A,India,,S 18A,,H K ,Sec 18A,,five years,minutes,20 per cent,Rs 1 000,,first,1
1104087,Bachan Singh,,the Congress Party,,Form B,,Para 13A,the ensuing Assembly Elections,Form B,the Symbols Order,,1968,2 50 p m on 3 2 2000,more than 55 ,,,first,13
162420,Pushpa P Mulchandani,,Court,,Pushpa P,,,,Sub section,Section 34,,1963,,,,,first,4
1354608,Pran Thakur,Hindu,Court,F A 326,Barhiya,Punjab,REWAJ 0 DASTURI,the Hindu Succession Act 1956,T S No 37,O 41,,1934,,,1 2 anna,,third,one
1292071,R V Raveendran,,NPA,,Karnataka,,,,,Rules,,2007,,25 ,,,,5
1056935,Markandey Katju,,Arbitrator,,India,,,,C P W D ,Clause 16 2,,7,,1 ,Rs 1 lakh,,first,2
442517,Ramesh B Desai,British,Company,SC 497,Bipinbhai,,SC 280,,Bipinbhai,the Company Petition,,May 1987,,,Rs 20 lacs,7 lacs,first,1
414792,Raj Lakshmi Dasi,J ,Court,S C R 533,England,the Western District,,,W P No 77,Art 32,English,1956,,,,,second,1
1813801,J ,Indian,State,Bar,India,Kashmir,Code,the Acts of 1984,A K,Act,English,1987,four hours,,,,first,2
1214980,KUZALR,American,State,the Madras High ,Punjab,Shamlat deh,,KUZALR,Part XII,Act,,1927,,six percent,,around 1600 acres,secondly,two
290385,Mancy Alexander,,Tribunal,the TB Hospital,the State of Andhra Pradesh,,,,,,,1998 8,the night,,,,first,two
525017,Landauer,British,Court,A C 673,Dunedin,,,,Award,Rule 12,,this day,,,25 000 rupees,100 bales,first,two
1156538,Kilta,Kilta,Court,,Kilta,,Kilta,,Ors ,the Patents Act,,2005,,,Rs 20 lacs,,first,2
65293457,Manmohan,,Court,Old Nangal Cremation Ground,Delhi Cantt,,Air Conditioner,, List of Works ,Act,English,2011 8,,75 ,,,,11
627069,Dhananjay Malik,,Court,,Nainital,,,,B P E ,Rules,,2006,,,,,,12
347224,Dwivedi,,the State Government,Rs 15 00 Crores,the State of Bihar,,,,,Clause 10 4,,1993,,,15 Crores,,second,1 4 93
691481,A K Ganguli,,Court,,Ludhiana,,,,,Section 11 B,,1994,,50 ,,,first,2
103434922,Shanti Lal Mehta,,Fast Flow Dealcom Pvt Ltd ,,J ,,,,Adjourned Motion ,Clause 12 of the Letters Patent,,2012,,,,,first,23
1073828,R Sahai,,Department,,Bombay,,Item 14E,,,Notification No 111 78,,six months,,,less than Rs 5 lakhs,,second,two
1911637,Y Anjaneyulu,Indian,ITO,R C 205,R C ,,Indoor Switchgear,,,Act,,1978,,25 ,2 99 111,,second,195
453977,Shri Yogeshwer Prasad,Indian,the Central Government,5 Parlia ment Street,Delhi,Northern India,Section 5B,Act,Indu Bhushan Bose v Rama Sundari Devi Another,the Public Premises Act,English,1956,,less than fifty one per cent,five hundred rupees,,second,3
1213194,P Ram Reddy,Andhra,State,Anamasamudram Giraperu,Telengana,Warrangal,Taram,,Tarams,Act,,1966,,75 per cent,half a rupee,below 50 acres,second,3
188348,Sri Kalkura,,Corporation,Delhi 291,A Seshadri,,Ext P7,,Ext ,Rules,,2003,,,less than Rs 1 lakh,,second,1
112896520,Sh A N Tiwari,,CIC,,ROC,,F 32,,W P ,the RTI Act,,1956,,,196 rupee,,first,38
1212077,S N Variava,,Board,,India,,Show Cause Notices,, Central Excise Officer ,Act,,25th June 2003,,,26 00 000,,first,3
1738333,Madhavi,,Trust,,Bombay,Sushiladevi Kathait,,,,Criminal Appeal No 658,,1986,,,,,,two
529229,Y Srinivasa Rao,T V S N ,State,,L M ,,,,,Annexure A ,,1993,,,,,10th,2
574884,Nitin Sachdeva,,the High Court,227,Lucknow,,Lehar Pepsi ,the Case No 699,,Article 227,,1954,,,,500 m,first,1
1923487,Rajnish,Indian,Court,Ram Pal,Kasba Kashipur,,SC 710,,L I U ,Section 302,,1995,10 5 95,,20 000,3 Kg doda,third,one
323576,Lok Adalats,European,ATC,IGI Airport,Delhi,IndiGo,No 6E 301,,A K Patnaik,DGCA,,2011,eleven hours,,Five lakhs,more than 1 500 kilometres,second,one
63283859,Shakuntalabai,Hindu,CPC,,Anandibai,,,,Ors ,Order II Rule 2,,12 years,,,Rs 25 000,319 acres,second,65
85467018,Reshmoo Devi,,Court,Marina Hotel,Shimla,District Shimla,,,Sub Judge,Order VII Rule 11,,2009,07 06 1960,,,,second,1
455122,Fateh Chand,,SAIL,,Chandigarh,,C 9,SC 1571,AA,Clause 7 2,English,July September 1988 quarter,,three per cent,Rs 1 lakh,1500 metric,second,7 2
1382698,Ambedkar,British,Government,Thames,India,the Tuensang District,S C 531,,Civil Appeal No 590 of 1962,Constitution,English,1971,mid day,,,,first,1
1954356,Seervai,British,the Provincial Government,Warden Road,Bombay,Paradise,Ordinnace,Febru ary,The Collector of Bombay,Ordinance,English,1935,,,one thousand rupees,,first,1
194456776,Vinca,Indian,Vinca,,India,,C 1,SCR 1211,the Debenture Trust Deeds,the FEMA Regulations,,1976,,14 75 ,14 5 per cent,,first,3
1999324,Dhawan,,Court,,Ors ,Range,,Schedule II,Ors ,Article 309,Latin,1994,,50 ,,,first,2
603848,Kanhaiyya,Indian,Court,,Kanhaiyya,,,,Kanhaiyya,the Copyright Act,English,2003,all night,,more than Rs 2 to 2 5 lakhs,,first,1
850821,Das,K ,Government,Bombay 704,the State of Maharashtra,,,The Bombay Conditions of Detention Order,A K Gopalan v State of Madras,the Bombay Conditions of Detention Order,Marathi,1951,,,,,first,1
1411268,Lordships,British,Customs,the Port of Pondicherry,India,,,,a Customs Collector to a Lands Customs Officer,Section 188,,1878,,45 per cent,Rs 16,1 000 bags,first,1 000
85089691,Kadam,Indian,Universal,New Link Road,India,,No B 32,,Deewar,Section 2,,1957,11 11A,ten per cent 10 ,,,first,1
41554823,Shri Abhishek Agarwal,Indian,DRP,,India,,Ground No 9,,321 322,ITA No 6980,,annual,,14 50 ,,,first,1
977497,Donnelley,Sanskrit,Court,U S 340,India,West, THE LAWS ,,Vrtraj,the Copyright Act,English,1995,,,Rs 98 000,5 kilometre,first,1
1006468,Tulzapurkar,,Appellant,,England,,MICRO LABS ,CIMS,Notice of Motion No 1920,Act,,the year 1998,,,,,first,13 
1425907,Seshmal Jain,,Court,Madras 79,Madras,,Single Judge,,,Application No 1660,,January 23 1990,,,19 40 000,,first,9 00 000
1597179,Tarkunde,,Court,,Malaysia,,,,,Section 10,,1992,,,,,first,6
494408,Shri Ram Krishna Dalmia,P B ,State,,Virginia,,S C 158,,Petitions No 1172 of 1956,Art 286,,1955,,,,,first,1
1604568,M J Rao,M s ,Court,Middle Temple Hall,India,,,AIR 1961 SC 1285,C M M ,clause 5,,1999,,35 ,Rs 51 lakhs,,2nd,5
63489929,Pai,Indian,State,A C 445,India,Uttrakhand,Articles 31A,Independence,Ors ,Constitution,English,2005,the end of the day,27 ,10 marks,60 kg,first,4
181033,Seervai,Jamalpur,the Supreme Court,the Colaba Land Mill Chawls,the State of Maharashtra,,,,Ex F Colly,the Eviction Act,,1971,,less than fifty one per cent,,,first,1
1507797,Srinivasalu Reddy,Hindu,Court,Fourth Main Road,Madras,,D 29,the Hindu Law,the Registration Book,Ex C 1,Telugu,the year 1955,18 4 1966,the 25 ,1 500,47 55 acres,1st,three
1741949,Shri Dave,J ,Board,,the State of U P ,,,,the Paper Book,Section 78A of the Act,English,28th January 1986,,10 ,cent per cent,11 KV,first,three
1766312,Babulu Reddy,,Controller,,India,,Design,,Registration iii,Section 46 3,,1911,,,,,first,1
58263027,Malhotra,Australian,Court,Para 362,Kuldip Nayar,,,,Kuldip Nayar,the RP Act,,1961,,,,,first,1
509065,Vaidyanathan,Western,CABE,,India,,,Resolution,the aforesaid Convocation Address,CABE,Sanskrit,1994,2002 minutes,,,,first,one
338008,J ,Indian,Court,SC 568,India,Europe,P300,AIR 1961 SC 1808,Cardozo Law Review 1023 1046,Article 20,English,1973,20 hours,between seventy and ninety percent,,1 200 1 400,first,3
1986616,Mamlatdar,Gunthas,the Circle Officer,the Bombay High Court,RANJIT SINGH,,,,Maxwell s Interpretation of Statutes,the Bombay Tenancy Act,,1948,,,,8 acres,first,3
1022090,Hylam,Swiss,Tribunal,,Ciba,,C V A Praga Drill Chucks,, Drill chucks contained in the manufacturing range of C V A,Section 10 2,English,1973,,5 ,10 000 U S dollars,,third,two
769926,M Sharma,,Court,Delhi 667,Ruston,,RAJNI,,BABA,paragraph 45,,2 Arb LR 91,,,,,third,34
81086651,Mr Amarjit Singh,,the Appellate Board,,India,,TA Nos 94,,Aggarwal Sweet Corner,Section 9 1 d of the Act,,9th September 2004,,,,,first,10
120358,Sankari Prasad s,American,Parliament,368,States,Island,F G,the French Revolution,State of Rajasthan,Constitution,English,1952,a moment,47 ,2 253 U S 350,millions of acres,first,1
1202878,Messrs,,the Industrial Tribunal,Maiden s Hotel,Delhi,,,, Labour Disputes and Collective Bargaining ,s 33 of the Act,,December 5 1955,three hours,,,,second,1
651705,Shri Harak Bir Bahadur,,Court,Gour Mondal Road,Burdwan,C Block,,S C 1858,,Act,,1972,several hours,,,9 92,,2
246887,Afsar,Afsar,the High Court,Mosque,Pakur,,Hiba bil Ewaz,,337 B C,the Hiba bil Ewaz,,1976,,,,,first,1
693281,G Pattanaik,,the High Court,,,,,,,Article 226,,2003 9,,,,,,1 
105936170,Shri Lakshmikumaran,Chinese,the Central Government,,India,,Metcoke,,Extraordinary Part II,the Customs Act,,1962,minutes,24 ,Rs 7 21 crores,one thousand eight hundred rupees per metric tonne,first,2
1092394,Umpire,Indian,MII,Bombay High South Offshore Site,India,,the Contract 1 Price,,Award,Clause 17 3,,1961,,4 5 ,Rupees 1 85 23 780,about 100 miles,third,17 3
1199558,Ralia Ram,British,State,the Kotwali Police Station,India,Malkhana,Malkhana,,the Law Reports,Act,,1861,midnight,,100,1 ratti,first,1
65151197,Addl,,Tribunal,,Chennai,,Hard Discs,,the Notebooks,Sl No 157 of Notification No 21 2002 Cus ibid,,2006,,,84 71,3600 to 7200 rpm,,two
1767393,Swarnakar,,Scheme,1901 AC 495,Punjab,,,the VRS 2000,Arising out of S L P,Regulation 29,,1995,,25 ,,,second,5
446174,B N Kirpal,,Customs,Winchester Disk Drive,Delhi,,Heading No 85 24,,Modern All About Hard Disk Drive,Chapter 37,,1962,,10 ,84 71,,,85 24
1869228,Sujit Kumar Sinha,,the Division Bench,,West Bengal,,,,Award,Judgment,,16th September 1997,,6 ,25 04 520,100 gms,second,2
1806604,Sai Krishna,,Court, GREEN DOT ,Bombay,,Accurist Vs Accutron,,Turbo torch Vs Turbogaz,DIMMER DOT ,,the year 1980,,,,,first,two
133640019,Alka Matoria,,University,,Rajasthan,,,,B A ,the Act of 2005,English,2005,the first hour,,Rs 1 000,,,6
94514,Gulab Chand,,the High Court,,the State of Madhya Pradesh,,,Sessions Trial No 147 79,,the Indian Penal Code,,about 23rd April 1979,,,2 000,,,394
1611775,Ramesh Shah,Indian,Tribunal,the Bombay Port,Bombay,Ballast,MANSCO 3,,the Show Cause Notice,Section 111 of the Act,,August 20 1983,twenty four hours,,59 53 560,100 to 125 tons,first,2
1660833,J B Dadachanji,J ,Government,Petition No 13,the State of Kerala,the District,,,The State Of Kerala,Act,,1958,,2 n P per cent,3 100,Rs 2 per acre,first,1
687034,Shri Ashok Desai,Italian,Tribunal,Port Paradeep,India,,MD 302,,,Rule 9,,1988,,,Rs 5 crores,,third,two
1274327,Bidaye,,Bank,Palghar Branch,Bombay,,Kms ,,Anr ,a Bank Official violating Rule No 32 4 of the State Bank of India Supervising Staff Service Rules,,2006,about 2 hours,5 ,34 436 85,,,2
